sequence_pool	sequence#	sample_id	sample_name	stage_sex	stage2_age	stage3_host_sex_genotype	stage4_batch	stage5_host	stage6_post-infection_day	stage7_vitro-vivo	stage8_sampletype	stage9_host#	stage10_vitroOnly	stage11_NoVT	stage12_KOWT_ONLY	stage0d3_host_genotype
pool4	187	N203	VT7d-rM-2-7	Male	AD	VT_rMale	8	rat	2	VT	VT_2d_rMale	VT	VT_2d	NA	NA	VT
pool4	199	N190	VT7d-rM-3-1	Male	AD	VT_rMale	8	rat	3	VT	VT_3d_rMale	VT	VT_3d	NA	NA	VT
pool4	200	N191	VT7d-rM-3-2	Male	AD	VT_rMale	8	rat	3	VT	VT_3d_rMale	VT	VT_3d	NA	NA	VT
pool4	201	N188	VT7d-rM-3-3	Male	AD	VT_rMale	8	rat	3	VT	VT_3d_rMale	VT	VT_3d	NA	NA	VT
pool4	202	N199	VT7d-rM-3-4	Male	AD	VT_rMale	8	rat	3	VT	VT_3d_rMale	VT	VT_3d	NA	NA	VT
pool4	203	N197	VT7d-rM-3-5	Male	AD	VT_rMale	8	rat	3	VT	VT_3d_rMale	VT	VT_3d	NA	NA	VT
pool4	204	N208	VT7d-rM-3-6	Male	AD	VT_rMale	8	rat	3	VT	VT_3d_rMale	VT	VT_3d	NA	NA	VT
pool5	235	N061	VT7d-rM5-1	Male	AD	VT_rMale	4	rat	5	VT	VT_5d_rMale	VT	VT_5d	NA	NA	VT
pool5	236	N060	VT7d-rM5-2	Male	AD	VT_rMale	4	rat	5	VT	VT_5d_rMale	VT	VT_5d	NA	NA	VT
pool5	237	N064	VT7d-rM5-3	Male	AD	VT_rMale	4	rat	5	VT	VT_5d_rMale	VT	VT_5d	NA	NA	VT
pool5	238	N062	VT7d-rM5-4	Male	AD	VT_rMale	4	rat	5	VT	VT_5d_rMale	VT	VT_5d	NA	NA	VT
pool6	239	N089	VT7d-rM-5-5	Male	AD	VT_rMale	4	rat	5	VT	VT_5d_rMale	VT	VT_5d	NA	NA	VT
pool5	240	N042	VT7d-rM5-6	Male	AD	VT_rMale	4	rat	5	VT	VT_5d_rMale	VT	VT_5d	NA	NA	VT
pool5	271	N053	VT7d-rM7-1	Male	AD	VT_rMale	4	rat	7	VT	VT_7d_rMale	VT	VT_7d	NA	NA	VT
pool5	272	N043	VT7d-rM7-2	Male	AD	VT_rMale	4	rat	7	VT	VT_7d_rMale	VT	VT_7d	NA	NA	VT
pool5	274	N040	VT7d-rM7-4	Male	AD	VT_rMale	4	rat	7	VT	VT_7d_rMale	VT	VT_7d	NA	NA	VT
pool5	276	N038	VT7d-rM7-6	Male	AD	VT_rMale	4	rat	7	VT	VT_7d_rMale	VT	VT_7d	NA	NA	VT
pool5	277	N044	VT7d-rM7-7	Male	AD	VT_rMale	4	rat	7	VT	VT_7d_rMale	VT	VT_7d	NA	NA	VT
pool5	278	N063	VT7d-rM7-8	Male	AD	VT_rMale	4	rat	7	VT	VT_7d_rMale	VT	VT_7d	NA	NA	VT
